CustomerID,TotalQuantity,TotalSpend,NumVisit,TicketSize,LastVisit,FirstVisit,AgeofUsage_day,AgeofUsage_month,ActiveMonth,ActiveDate,PercActiveMonth,PercActiveDay,ActiveDateperMonth,NumProduct,NumFresh,NumGrocery,NumMixed,NumNonFood,NumXX,PercFresh,PercGrocery,PercMixed,PercNonFood,PercXX,TotalSpend_Median,TotalSpend_Per75,TotalSpend_Per25,NumWeekday,NumWeekend,NumMorning,NumAfternoon,NumEvening,PercWeekday,PercWeekend,PercMorning,PercAfternoon,PercEvening
CUST0000644893,4009,3726.78,154,24.2,2008-07-02,2006-04-14,811,28,28,147,100.0,18.13,28.964285714285715,528,40,29,84,0,0,25.974,18.8312,54.5455,0.0,0.0,23.52,29.68,15.26,110,44,34,106,9,71.43,28.57,22.08,68.83,5.84
CUST0000863361,186,190.79,32,5.96,2008-07-06,2006-06-22,746,26,16,31,61.54,4.16,28.692307692307693,78,23,3,4,0,0,71.875,9.375,12.5,0.0,0.0,2.7,9.86,1.39,25,7,2,21,6,78.13,21.88,6.25,65.63,18.75
CUST0000543374,553,915.17,33,27.73,2008-06-10,2006-10-19,601,21,16,31,76.19,5.16,28.61904761904762,249,10,5,16,0,0,30.303,15.1515,48.4848,0.0,0.0,27.44,40.62,19.2,25,8,10,21,2,75.76,24.24,30.3,63.64,6.06
CUST0000063931,1938,1478.05,124,11.92,2008-07-04,2006-04-10,817,28,28,124,100.0,15.18,29.178571428571427,185,77,5,38,0,0,62.0968,4.0323,30.6452,0.0,0.0,11.06,15.68,8.53,84,40,66,56,0,67.74,32.26,53.23,45.16,0.0
CUST0000527918,1815,2363.35,49,48.23,2008-07-04,2006-04-14,813,28,18,49,64.29,6.03,29.035714285714285,342,7,4,37,0,0,14.2857,8.1633,75.5102,0.0,0.0,52.9,66.39,38.12,32,17,4,32,8,65.31,34.69,8.16,65.31,16.33
CUST0000138092,2974,2581.24,263,9.81,2008-07-06,2006-04-13,816,28,28,237,100.0,29.04,29.142857142857142,563,83,66,88,0,1,31.5589,25.0951,33.4601,0.0,0.3802,6.35,14.88,2.66,166,97,43,141,63,63.12,36.88,16.35,53.61,23.95
CUST0000997122,3968,3961.74,188,21.07,2008-07-02,2006-04-12,813,28,28,175,100.0,21.53,29.035714285714285,434,86,15,83,0,2,45.7447,7.9787,44.1489,0.0,1.0638,13.38,38.23,2.87,144,44,43,106,21,76.6,23.4,22.87,56.38,11.17
CUST0000820750,3925,5020.85,624,8.05,2008-07-06,2006-04-10,819,28,28,445,100.0,54.33,29.25,548,191,154,261,0,0,30.609,24.6795,41.8269,0.0,0.0,6.89,10.51,4.18,431,193,251,310,46,69.07,30.93,40.22,49.68,7.37
CUST0000634693,252,337.6,36,9.38,2008-06-26,2006-04-12,807,27,20,36,74.07,4.46,29.888888888888889,122,12,10,11,0,0,33.3333,27.7778,30.5556,0.0,0.0,8.12,12.74,3.66,25,11,7,15,11,69.44,30.56,19.44,41.67,30.56
CUST0000086836,1512,2047.26,86,23.81,2008-06-20,2006-04-12,801,27,26,83,96.3,10.36,29.666666666666668,296,46,11,26,0,0,53.4884,12.7907,30.2326,0.0,0.0,17.29,32.91,10.16,64,22,14,37,31,74.42,25.58,16.28,43.02,36.05
CUST0000809769,2733,3407.55,173,19.7,2008-07-04,2006-04-18,809,28,28,161,100.0,19.9,28.892857142857142,766,80,11,79,0,0,46.2428,6.3584,45.6647,0.0,0.0,15.5,27.29,7.38,126,47,41,87,32,72.83,27.17,23.7,50.29,18.5
CUST0000336781,1666,1460.66,83,17.6,2008-07-02,2006-04-24,801,28,27,81,96.43,10.11,28.607142857142858,283,61,2,20,0,0,73.494,2.4096,24.0964,0.0,0.0,15.87,22.14,10.92,52,31,42,40,1,62.65,37.35,50.6,48.19,1.2
CUST0000467543,3971,3061.72,252,12.15,2008-06-28,2006-04-12,809,27,27,227,100.0,28.06,29.962962962962962,306,153,22,69,0,1,60.7143,8.7302,27.381,0.0,0.3968,9.8,18.52,3.76,191,61,42,122,59,75.79,24.21,16.67,48.41,23.41
CUST0000960829,708,905.31,54,16.77,2008-07-01,2006-06-28,735,26,22,54,84.62,7.35,28.26923076923077,87,14,13,27,0,0,25.9259,24.0741,50.0,0.0,0.0,16.82,19.33,12.67,42,12,2,2,50,77.78,22.22,3.7,3.7,92.59
CUST0000472222,292,380.74,27,14.1,2008-05-30,2006-09-02,637,21,15,26,71.43,4.08,30.333333333333332,122,15,4,7,0,0,55.5556,14.8148,25.9259,0.0,0.0,4.41,22.04,2.43,19,8,1,22,3,70.37,29.63,3.7,81.48,11.11
CUST0000771768,1510,1739.95,276,6.3,2008-07-06,2006-04-14,815,28,28,237,100.0,29.08,29.107142857142858,428,144,41,55,0,4,52.1739,14.8551,19.9275,0.0,1.4493,4.15,8.23,1.98,204,72,39,104,99,73.91,26.09,14.13,37.68,35.87
CUST0000214594,1164,1586.46,37,42.88,2008-06-16,2006-04-21,788,27,21,37,77.78,4.7,29.185185185185187,214,13,7,16,0,0,35.1351,18.9189,43.2432,0.0,0.0,45.66,66.06,20.73,30,7,0,21,12,81.08,18.92,0.0,56.76,32.43
CUST0000999935,343,444.17,21,21.15,2008-06-05,2006-11-29,555,20,13,20,65.0,3.6,27.75,127,7,5,7,0,1,33.3333,23.8095,33.3333,0.0,4.7619,21.01,32.86,3.1,16,5,3,15,1,76.19,23.81,14.29,71.43,4.76
CUST0000310147,308,389.73,49,7.95,2008-06-29,2006-04-28,794,27,20,47,74.07,5.92,29.407407407407408,113,29,6,12,0,0,59.1837,12.2449,24.4898,0.0,0.0,5.31,12.48,1.34,33,16,1,18,27,67.35,32.65,2.04,36.73,55.1
CUST0000475538,1804,2266.26,53,42.76,2008-07-02,2006-12-03,578,20,17,52,85.0,9.0,28.9,494,32,4,14,0,1,60.3774,7.5472,26.4151,0.0,1.8868,45.48,67.9,13.63,35,18,7,29,13,66.04,33.96,13.21,54.72,24.53
CUST0000108776,818,1023.08,75,13.64,2008-07-01,2006-05-30,764,27,23,72,85.19,9.42,28.296296296296298,237,49,7,17,0,0,65.3333,9.3333,22.6667,0.0,0.0,12.48,21.8,5.55,59,16,3,53,14,78.67,21.33,4.0,70.67,18.67
CUST0000988001,1301,1604.06,113,14.2,2008-06-29,2006-04-13,809,27,27,102,100.0,12.61,29.962962962962962,187,63,21,28,0,0,55.7522,18.5841,24.7788,0.0,0.0,10.62,21.47,4.6,76,37,16,29,61,67.26,32.74,14.16,25.66,53.98
CUST0000666899,772,1137.7,116,9.81,2008-07-05,2006-04-10,818,28,28,106,100.0,12.96,29.214285714285715,303,57,38,16,0,0,49.1379,32.7586,13.7931,0.0,0.0,4.26,9.58,1.7,71,45,27,45,35,61.21,38.79,23.28,38.79,30.17
CUST0000455083,864,1300.51,148,8.79,2008-07-06,2007-06-25,378,14,14,117,100.0,30.95,27.0,278,72,35,30,0,0,48.6486,23.6486,20.2703,0.0,0.0,3.48,8.71,1.82,116,32,14,77,41,78.38,21.62,9.46,52.03,27.7
CUST0000648578,486,587.12,77,7.62,2008-07-01,2006-04-10,814,28,16,72,57.14,8.85,29.071428571428573,156,45,12,18,0,0,58.4416,15.5844,23.3766,0.0,0.0,5.18,9.61,2.04,49,28,22,43,11,63.64,36.36,28.57,55.84,14.29
CUST0000706608,1890,2031.12,178,11.41,2008-07-04,2006-04-11,816,28,28,164,100.0,20.1,29.142857142857142,373,128,6,37,0,2,71.9101,3.3708,20.7865,0.0,1.1236,8.48,16.23,3.59,131,47,23,70,62,73.6,26.4,12.92,39.33,34.83
CUST0000588881,3375,2443.86,110,22.22,2008-06-30,2006-04-15,808,27,19,105,70.37,13.0,29.925925925925927,332,16,34,58,0,0,14.5455,30.9091,52.7273,0.0,0.0,22.71,32.35,5.68,79,31,23,33,41,71.82,28.18,20.91,30.0,37.27
CUST0000464070,1582,2289.7,104,22.02,2008-07-01,2006-04-10,814,28,28,100,100.0,12.29,29.071428571428573,419,41,16,40,0,0,39.4231,15.3846,38.4615,0.0,0.0,10.9,32.78,3.98,76,28,8,41,41,73.08,26.92,7.69,39.42,39.42
CUST0000915203,1904,2017.63,191,10.56,2008-07-02,2006-07-27,707,25,25,174,100.0,24.61,28.28,281,117,13,53,0,3,61.2565,6.8063,27.7487,0.0,1.5707,7.41,14.47,3.52,132,59,32,140,2,69.11,30.89,16.75,73.3,1.05
CUST0000742399,374,560.8,37,15.16,2008-07-06,2006-11-14,601,21,17,34,80.95,5.66,28.61904761904762,110,15,8,10,0,0,40.5405,21.6216,27.027,0.0,0.0,14.52,19.41,7.25,30,7,2,12,18,81.08,18.92,5.41,32.43,48.65
CUST0000132570,895,1089.19,50,21.78,2008-06-09,2006-04-13,789,27,18,48,66.67,6.08,29.222222222222221,246,23,11,16,0,0,46.0,22.0,32.0,0.0,0.0,22.71,34.12,3.95,31,19,6,13,27,62.0,38.0,12.0,26.0,54.0
CUST0000337192,1984,2158.19,366,5.9,2008-07-03,2006-04-12,814,28,28,301,100.0,36.98,29.071428571428573,429,300,13,42,0,5,81.9672,3.5519,11.4754,0.0,1.3661,4.39,7.37,2.19,279,87,123,38,192,76.23,23.77,33.61,10.38,52.46
CUST0000349165,1325,1354.04,63,21.49,2008-06-20,2006-04-12,801,27,26,63,96.3,7.87,29.666666666666668,143,30,5,28,0,0,47.619,7.9365,44.4444,0.0,0.0,19.32,27.14,13.53,46,17,12,39,8,73.02,26.98,19.05,61.9,12.7
CUST0000985195,1794,1896.65,65,29.18,2008-07-03,2006-04-18,808,28,27,65,96.43,8.04,28.857142857142858,286,46,0,19,0,0,70.7692,0.0,29.2308,0.0,0.0,24.91,39.48,18.79,52,13,6,15,31,80.0,20.0,9.23,23.08,47.69
CUST0000506810,623,852.94,31,27.51,2008-06-27,2006-12-20,556,19,16,29,84.21,5.22,29.263157894736842,208,13,5,11,0,0,41.9355,16.129,35.4839,0.0,0.0,32.78,41.62,7.97,21,10,4,17,9,67.74,32.26,12.9,54.84,29.03
CUST0000699774,216,251.49,36,6.99,2008-04-22,2006-07-03,660,22,18,34,81.82,5.15,30.0,146,10,9,13,0,0,27.7778,25.0,36.1111,0.0,0.0,4.24,9.48,1.6,22,14,5,16,11,61.11,38.89,13.89,44.44,30.56
CUST0000744374,182,211.87,50,4.24,2008-07-06,2006-04-24,805,28,22,49,78.57,6.09,28.75,73,23,14,9,0,1,46.0,28.0,18.0,0.0,2.0,2.73,5.59,1.24,43,7,8,38,0,86.0,14.0,16.0,76.0,0.0
CUST0000099658,3832,4874.18,284,17.16,2008-07-06,2006-04-17,812,28,28,247,100.0,30.42,29.0,825,114,39,119,0,0,40.1408,13.7324,41.9014,0.0,0.0,10.22,26.01,5.14,195,89,17,146,89,68.66,31.34,5.99,51.41,31.34
CUST0000105820,810,1009.59,55,18.36,2008-06-29,2006-04-17,805,27,25,55,92.59,6.83,29.814814814814813,329,27,8,18,0,0,49.0909,14.5455,32.7273,0.0,0.0,11.15,27.32,5.93,37,18,3,37,9,67.27,32.73,5.45,67.27,16.36
CUST0000275796,287,378.95,90,4.21,2008-06-17,2006-04-19,791,27,26,86,96.3,10.87,29.296296296296298,72,63,19,7,0,0,70.0,21.1111,7.7778,0.0,0.0,3.09,6.15,1.72,53,37,11,44,20,58.89,41.11,12.22,48.89,22.22
CUST0000687519,1006,1220.24,111,10.99,2008-06-22,2006-04-22,793,27,27,108,100.0,13.62,29.37037037037037,393,45,29,29,0,0,40.5405,26.1261,26.1261,0.0,0.0,6.57,13.11,3.03,83,28,27,71,9,74.77,25.23,24.32,63.96,8.11
CUST0000970826,999,1298.23,50,25.96,2008-06-28,2006-07-25,705,24,22,48,91.67,6.81,29.375,330,22,1,23,0,0,44.0,2.0,46.0,0.0,0.0,28.09,36.02,11.69,36,14,14,20,11,72.0,28.0,28.0,40.0,22.0
CUST0000767243,1005,1036.55,63,16.45,2008-06-10,2006-07-11,701,24,19,59,79.17,8.42,29.208333333333332,222,42,6,11,0,1,66.6667,9.5238,17.4603,0.0,1.5873,10.64,22.38,5.62,50,13,34,27,0,79.37,20.63,53.97,42.86,0.0
CUST0000146080,1832,2229.52,316,7.06,2008-07-05,2006-04-11,817,28,28,267,100.0,32.68,29.178571428571427,413,158,62,85,0,0,50.0,19.6203,26.8987,0.0,0.0,4.8,8.84,2.08,238,78,62,213,25,75.32,24.68,19.62,67.41,7.91
CUST0000574623,331,477.66,30,15.92,2008-06-08,2006-04-10,791,27,18,29,66.67,3.67,29.296296296296298,147,12,10,5,0,0,40.0,33.3333,16.6667,0.0,0.0,10.67,23.2,5.59,22,8,6,13,10,73.33,26.67,20.0,43.33,33.33
CUST0000963611,215,319.03,34,9.38,2008-04-07,2006-08-23,594,21,11,30,52.38,5.05,28.285714285714285,116,10,10,12,0,0,29.4118,29.4118,35.2941,0.0,0.0,6.99,16.54,3.31,24,10,10,23,1,70.59,29.41,29.41,67.65,2.94
CUST0000160452,200,337.83,40,8.45,2008-07-04,2006-07-17,719,25,20,40,80.0,5.56,28.76,96,13,8,11,0,0,32.5,20.0,27.5,0.0,0.0,5.85,9.16,2.08,25,15,2,17,19,62.5,37.5,5.0,42.5,47.5
